Habitat	Site	denovo27904	denovo41356	denovo75857	denovo109526	denovo168050	denovo178360	denovo188915	denovo189681	denovo197867	denovo325256	denovo332829	denovo382441	denovo484015	denovo509076	denovo537034	denovo563582	denovo649427	denovo690290	denovo694227	denovo713257	denovo737280	denovo745024	denovo806217	denovo818245	denovo918728	denovo937800	denovo947874
Sed	RI	0.333333333	0	0	0.055555556	0.12345679	0.262048193	0.445945946	0.333333333	0.462264151	0.59469697	0	0	0.292307692	0.646258503	0	0.255319149	0	0.008982036	0	0.085714286	0.052173913	0	0.441860465	0.007936508	0.151898734	0.293478261	0
Sed	DU1	0.409395973	0	0	0.056603774	0.061827957	0	0.527131783	0.302681992	0.496402878	0.343434343	0	0	0.432282004	0.39408867	0	0.131386861	0	0.012820513	0	0	0	0.030769231	0.036363636	0.00867052	0.397260274	0.132841328	0
Sed	DU2	0.409395973	0	0	0.056603774	0.061827957	0	0.527131783	0.302681992	0.496402878	0.343434343	0	0	0.432282004	0.39408867	0	0.131386861	0	0.012820513	0	0	0	0.030769231	0.036363636	0.00867052	0.397260274	0.132841328	0
Habitat	Site	denovo27904	denovo41356	denovo75857	denovo109526	denovo168050	denovo178360	denovo188915	denovo189681	denovo197867	denovo325256	denovo332829	denovo382441	denovo484015	denovo509076	denovo537034	denovo563582	denovo649427	denovo690290	denovo694227	denovo713257	denovo737280	denovo745024	denovo806217	denovo818245	denovo918728	denovo937800	denovo947874
Gills	WF	0.714285714	0.25	0.684210526	0.692307692	0.131147541	0.125874126	0	0.393939394	0.077922078	0.015228426	0.030528667	0.9833666	0.116883117	0.046610169	0.542857143	0	0.205882353	0.057142857	0.100775194	0.352941176	0.333333333	0.27027027	0.438356164	0.059701493	0.386363636	0.253968254	0.246753247
Gills	RI	0.271604938	0.425	0.507246377	0.722222222	0.180246914	0.385542169	0.148648649	0.2	0.283018868	0.117424242	0.551020408	0.537848606	0.41978022	0.149659864	0.385964912	0.340425532	0.606557377	0.047904192	0.411764706	0.628571429	0.286956522	0.16	0.263565891	0.031746032	0.367088608	0.27173913	0.128318584
Gills	DU1	0.325503356	0.182555781	0.228813559	0.48427673	0.222670251	0.547619048	0.294573643	0.388888889	0.316546763	0.275252525	0.026495726	0.80580565	0.204081633	0.221674877	0.16181411	0.525547445	0.630952381	0.136752137	0.203319502	0.663636364	0.389344262	0.538461538	0.527272727	0.147398844	0.365296804	0.490774908	0.120179372
Gills	DU2	0.325503356	0.182555781	0.228813559	0.48427673	0.222670251	0.547619048	0.294573643	0.388888889	0.316546763	0.275252525	0.026495726	0.80580565	0.204081633	0.221674877	0.16181411	0.525547445	0.630952381	0.136752137	0.203319502	0.663636364	0.389344262	0.538461538	0.527272727	0.147398844	0.365296804	0.490774908	0.120179372
Stomach	WF	0.142857143	0.583333333	0.263157895	0.307692308	0.172131148	0.370629371	0.571428571	0.151515152	0.142857143	0.101522843	0.969471333	0.0166334	0.272727273	0.173728814	0.357142857	0.666666667	0.647058824	0.276190476	0.503875969	0.470588235	0.266666667	0.27027027	0.136986301	0.144278607	0.227272727	0.126984127	0.090909091
Stomach	RI	0.333333333	0.325	0.492753623	0.203703704	0.362962963	0.334337349	0.351351351	0.286666667	0.226415094	0.106060606	0.448979592	0.462151394	0.268131868	0.170068027	0.578947368	0.382978723	0.360655738	0.035928144	0.327731092	0.257142857	0.156521739	0.48	0.248062016	0.034920635	0.341772152	0.358695652	0.048672566
Stomach	DU1	0.194630872	0.705882353	0.5	0.34591195	0.271505376	0.452380952	0.127906977	0.19348659	0.172661871	0.108585859	0.973504274	0.19419435	0.300556586	0.290640394	0.834826428	0.321167883	0.357142857	0.247863248	0.435684647	0.327272727	0.254098361	0.353846154	0.36969697	0.190751445	0.200913242	0.343173432	0.049327354
Stomach	DU2	0.194630872	0.705882353	0.5	0.34591195	0.271505376	0.452380952	0.127906977	0.19348659	0.172661871	0.108585859	0.973504274	0.19419435	0.300556586	0.290640394	0.834826428	0.321167883	0.357142857	0.247863248	0.435684647	0.327272727	0.254098361	0.353846154	0.36969697	0.190751445	0.200913242	0.343173432	0.049327354
Water	WF	0.142857143	0.166666667	0.052631579	0	0.327868852	0.258741259	0.428571429	0.272727273	0.038961039	0.223350254	0	0	0.311688312	0.347457627	0.1	0.333333333	0.147058824	0.638095238	0.279069767	0.176470588	0.19047619	0.459459459	0.150684932	0.781094527	0.181818182	0.476190476	0.285714286
Water	RI	0.061728395	0.25	0	0.018518519	0.333333333	0.018072289	0.054054054	0.18	0.028301887	0.181818182	0	0	0.01978022	0.034013605	0.035087719	0.021276596	0.032786885	0.907185629	0.260504202	0.028571429	0.504347826	0.36	0.046511628	0.925396825	0.139240506	0.076086957	0.82300885
Water	DU1	0.070469799	0.111561866	0.271186441	0.113207547	0.443996416	0	0.050387597	0.114942529	0.014388489	0.272727273	0	0	0.063079777	0.093596059	0.003359462	0.02189781	0.011904762	0.602564103	0.360995851	0.009090909	0.356557377	0.076923077	0.066666667	0.653179191	0.03652968	0.033210332	0.830493274
Water	DU2	0.070469799	0.111561866	0.271186441	0.113207547	0.443996416	0	0.050387597	0.114942529	0.014388489	0.272727273	0	0	0.063079777	0.093596059	0.003359462	0.02189781	0.011904762	0.602564103	0.360995851	0.009090909	0.356557377	0.076923077	0.066666667	0.653179191	0.03652968	0.033210332	0.830493274
Sed	WF	0	0	0	0	0.368852459	0.244755245	0	0.181818182	0.74025974	0.659898477	0	0	0.298701299	0.43220339	0	0	0	0.028571429	0.11627907	0	0.20952381	0	0.273972603	0.014925373	0.204545455	0.142857143	0.376623377
Sed	RI	0.333333333	0	0	0.055555556	0.12345679	0.262048193	0.445945946	0.333333333	0.462264151	0.59469697	0	0	0.292307692	0.646258503	0	0.255319149	0	0.008982036	0	0.085714286	0.052173913	0	0.441860465	0.007936508	0.151898734	0.293478261	0
Sed	DU1	0.409395973	0	0	0.056603774	0.061827957	0	0.527131783	0.302681992	0.496402878	0.343434343	0	0	0.432282004	0.39408867	0	0.131386861	0	0.012820513	0	0	0	0.030769231	0.036363636	0.00867052	0.397260274	0.132841328	0
Sed	DU2	0.409395973	0	0	0.056603774	0.061827957	0	0.527131783	0.302681992	0.496402878	0.343434343	0	0	0.432282004	0.39408867	0	0.131386861	0	0.012820513	0	0	0	0.030769231	0.036363636	0.00867052	0.397260274	0.132841328	0
Habitat	Site	denovo27904	denovo41356	denovo75857	denovo109526	denovo168050	denovo178360	denovo188915	denovo189681	denovo197867	denovo325256	denovo332829	denovo382441	denovo484015	denovo509076	denovo537034	denovo563582	denovo649427	denovo690290	denovo694227	denovo713257	denovo737280	denovo745024	denovo806217	denovo818245	denovo918728	denovo937800	denovo947874
Gills	WF	0.714285714	0.25	0.684210526	0.692307692	0.131147541	0.125874126	0	0.393939394	0.077922078	0.015228426	0.030528667	0.9833666	0.116883117	0.046610169	0.542857143	0	0.205882353	0.057142857	0.100775194	0.352941176	0.333333333	0.27027027	0.438356164	0.059701493	0.386363636	0.253968254	0.246753247
Gills	RI	0.271604938	0.425	0.507246377	0.722222222	0.180246914	0.385542169	0.148648649	0.2	0.283018868	0.117424242	0.551020408	0.537848606	0.41978022	0.149659864	0.385964912	0.340425532	0.606557377	0.047904192	0.411764706	0.628571429	0.286956522	0.16	0.263565891	0.031746032	0.367088608	0.27173913	0.128318584
Gills	DU1	0.325503356	0.182555781	0.228813559	0.48427673	0.222670251	0.547619048	0.294573643	0.388888889	0.316546763	0.275252525	0.026495726	0.80580565	0.204081633	0.221674877	0.16181411	0.525547445	0.630952381	0.136752137	0.203319502	0.663636364	0.389344262	0.538461538	0.527272727	0.147398844	0.365296804	0.490774908	0.120179372
Gills	DU2	0.325503356	0.182555781	0.228813559	0.48427673	0.222670251	0.547619048	0.294573643	0.388888889	0.316546763	0.275252525	0.026495726	0.80580565	0.204081633	0.221674877	0.16181411	0.525547445	0.630952381	0.136752137	0.203319502	0.663636364	0.389344262	0.538461538	0.527272727	0.147398844	0.365296804	0.490774908	0.120179372
Stomach	WF	0.142857143	0.583333333	0.263157895	0.307692308	0.172131148	0.370629371	0.571428571	0.151515152	0.142857143	0.101522843	0.969471333	0.0166334	0.272727273	0.173728814	0.357142857	0.666666667	0.647058824	0.276190476	0.503875969	0.470588235	0.266666667	0.27027027	0.136986301	0.144278607	0.227272727	0.126984127	0.090909091
Stomach	RI	0.333333333	0.325	0.492753623	0.203703704	0.362962963	0.334337349	0.351351351	0.286666667	0.226415094	0.106060606	0.448979592	0.462151394	0.268131868	0.170068027	0.578947368	0.382978723	0.360655738	0.035928144	0.327731092	0.257142857	0.156521739	0.48	0.248062016	0.034920635	0.341772152	0.358695652	0.048672566
Stomach	DU1	0.194630872	0.705882353	0.5	0.34591195	0.271505376	0.452380952	0.127906977	0.19348659	0.172661871	0.108585859	0.973504274	0.19419435	0.300556586	0.290640394	0.834826428	0.321167883	0.357142857	0.247863248	0.435684647	0.327272727	0.254098361	0.353846154	0.36969697	0.190751445	0.200913242	0.343173432	0.049327354
Stomach	DU2	0.194630872	0.705882353	0.5	0.34591195	0.271505376	0.452380952	0.127906977	0.19348659	0.172661871	0.108585859	0.973504274	0.19419435	0.300556586	0.290640394	0.834826428	0.321167883	0.357142857	0.247863248	0.435684647	0.327272727	0.254098361	0.353846154	0.36969697	0.190751445	0.200913242	0.343173432	0.049327354
Water	WF	0.142857143	0.166666667	0.052631579	0	0.327868852	0.258741259	0.428571429	0.272727273	0.038961039	0.223350254	0	0	0.311688312	0.347457627	0.1	0.333333333	0.147058824	0.638095238	0.279069767	0.176470588	0.19047619	0.459459459	0.150684932	0.781094527	0.181818182	0.476190476	0.285714286
Water	RI	0.061728395	0.25	0	0.018518519	0.333333333	0.018072289	0.054054054	0.18	0.028301887	0.181818182	0	0	0.01978022	0.034013605	0.035087719	0.021276596	0.032786885	0.907185629	0.260504202	0.028571429	0.504347826	0.36	0.046511628	0.925396825	0.139240506	0.076086957	0.82300885
Water	DU1	0.070469799	0.111561866	0.271186441	0.113207547	0.443996416	0	0.050387597	0.114942529	0.014388489	0.272727273	0	0	0.063079777	0.093596059	0.003359462	0.02189781	0.011904762	0.602564103	0.360995851	0.009090909	0.356557377	0.076923077	0.066666667	0.653179191	0.03652968	0.033210332	0.830493274
Water	DU2	0.070469799	0.111561866	0.271186441	0.113207547	0.443996416	0	0.050387597	0.114942529	0.014388489	0.272727273	0	0	0.063079777	0.093596059	0.003359462	0.02189781	0.011904762	0.602564103	0.360995851	0.009090909	0.356557377	0.076923077	0.066666667	0.653179191	0.03652968	0.033210332	0.830493274
Sed	WF	0	0	0	0	0.368852459	0.244755245	0	0.181818182	0.74025974	0.659898477	0	0	0.298701299	0.43220339	0	0	0	0.028571429	0.11627907	0	0.20952381	0	0.273972603	0.014925373	0.204545455	0.142857143	0.376623377
Sed	RI	0.333333333	0	0	0.055555556	0.12345679	0.262048193	0.445945946	0.333333333	0.462264151	0.59469697	0	0	0.292307692	0.646258503	0	0.255319149	0	0.008982036	0	0.085714286	0.052173913	0	0.441860465	0.007936508	0.151898734	0.293478261	0
Sed	DU1	0.409395973	0	0	0.056603774	0.061827957	0	0.527131783	0.302681992	0.496402878	0.343434343	0	0	0.432282004	0.39408867	0	0.131386861	0	0.012820513	0	0	0	0.030769231	0.036363636	0.00867052	0.397260274	0.132841328	0
Sed	DU2	0.409395973	0	0	0.056603774	0.061827957	0	0.527131783	0.302681992	0.496402878	0.343434343	0	0	0.432282004	0.39408867	0	0.131386861	0	0.012820513	0	0	0	0.030769231	0.036363636	0.00867052	0.397260274	0.132841328	0
Habitat	Site	denovo27904	denovo41356	denovo75857	denovo109526	denovo168050	denovo178360	denovo188915	denovo189681	denovo197867	denovo325256	denovo332829	denovo382441	denovo484015	denovo509076	denovo537034	denovo563582	denovo649427	denovo690290	denovo694227	denovo713257	denovo737280	denovo745024	denovo806217	denovo818245	denovo918728	denovo937800	denovo947874
Gills	WF	0.714285714	0.25	0.684210526	0.692307692	0.131147541	0.125874126	0	0.393939394	0.077922078	0.015228426	0.030528667	0.9833666	0.116883117	0.046610169	0.542857143	0	0.205882353	0.057142857	0.100775194	0.352941176	0.333333333	0.27027027	0.438356164	0.059701493	0.386363636	0.253968254	0.246753247
Gills	RI	0.271604938	0.425	0.507246377	0.722222222	0.180246914	0.385542169	0.148648649	0.2	0.283018868	0.117424242	0.551020408	0.537848606	0.41978022	0.149659864	0.385964912	0.340425532	0.606557377	0.047904192	0.411764706	0.628571429	0.286956522	0.16	0.263565891	0.031746032	0.367088608	0.27173913	0.128318584
Gills	DU1	0.325503356	0.182555781	0.228813559	0.48427673	0.222670251	0.547619048	0.294573643	0.388888889	0.316546763	0.275252525	0.026495726	0.80580565	0.204081633	0.221674877	0.16181411	0.525547445	0.630952381	0.136752137	0.203319502	0.663636364	0.389344262	0.538461538	0.527272727	0.147398844	0.365296804	0.490774908	0.120179372
Gills	DU2	0.325503356	0.182555781	0.228813559	0.48427673	0.222670251	0.547619048	0.294573643	0.388888889	0.316546763	0.275252525	0.026495726	0.80580565	0.204081633	0.221674877	0.16181411	0.525547445	0.630952381	0.136752137	0.203319502	0.663636364	0.389344262	0.538461538	0.527272727	0.147398844	0.365296804	0.490774908	0.120179372
Stomach	WF	0.142857143	0.583333333	0.263157895	0.307692308	0.172131148	0.370629371	0.571428571	0.151515152	0.142857143	0.101522843	0.969471333	0.0166334	0.272727273	0.173728814	0.357142857	0.666666667	0.647058824	0.276190476	0.503875969	0.470588235	0.266666667	0.27027027	0.136986301	0.144278607	0.227272727	0.126984127	0.090909091
Stomach	RI	0.333333333	0.325	0.492753623	0.203703704	0.362962963	0.334337349	0.351351351	0.286666667	0.226415094	0.106060606	0.448979592	0.462151394	0.268131868	0.170068027	0.578947368	0.382978723	0.360655738	0.035928144	0.327731092	0.257142857	0.156521739	0.48	0.248062016	0.034920635	0.341772152	0.358695652	0.048672566
Stomach	DU1	0.194630872	0.705882353	0.5	0.34591195	0.271505376	0.452380952	0.127906977	0.19348659	0.172661871	0.108585859	0.973504274	0.19419435	0.300556586	0.290640394	0.834826428	0.321167883	0.357142857	0.247863248	0.435684647	0.327272727	0.254098361	0.353846154	0.36969697	0.190751445	0.200913242	0.343173432	0.049327354
Stomach	DU2	0.194630872	0.705882353	0.5	0.34591195	0.271505376	0.452380952	0.127906977	0.19348659	0.172661871	0.108585859	0.973504274	0.19419435	0.300556586	0.290640394	0.834826428	0.321167883	0.357142857	0.247863248	0.435684647	0.327272727	0.254098361	0.353846154	0.36969697	0.190751445	0.200913242	0.343173432	0.049327354
Water	WF	0.142857143	0.166666667	0.052631579	0	0.327868852	0.258741259	0.428571429	0.272727273	0.038961039	0.223350254	0	0	0.311688312	0.347457627	0.1	0.333333333	0.147058824	0.638095238	0.279069767	0.176470588	0.19047619	0.459459459	0.150684932	0.781094527	0.181818182	0.476190476	0.285714286
Water	RI	0.061728395	0.25	0	0.018518519	0.333333333	0.018072289	0.054054054	0.18	0.028301887	0.181818182	0	0	0.01978022	0.034013605	0.035087719	0.021276596	0.032786885	0.907185629	0.260504202	0.028571429	0.504347826	0.36	0.046511628	0.925396825	0.139240506	0.076086957	0.82300885
Water	DU1	0.070469799	0.111561866	0.271186441	0.113207547	0.443996416	0	0.050387597	0.114942529	0.014388489	0.272727273	0	0	0.063079777	0.093596059	0.003359462	0.02189781	0.011904762	0.602564103	0.360995851	0.009090909	0.356557377	0.076923077	0.066666667	0.653179191	0.03652968	0.033210332	0.830493274
Water	DU2	0.070469799	0.111561866	0.271186441	0.113207547	0.443996416	0	0.050387597	0.114942529	0.014388489	0.272727273	0	0	0.063079777	0.093596059	0.003359462	0.02189781	0.011904762	0.602564103	0.360995851	0.009090909	0.356557377	0.076923077	0.066666667	0.653179191	0.03652968	0.033210332	0.830493274
Sed	WF	0	0	0	0	0.368852459	0.244755245	0	0.181818182	0.74025974	0.659898477	0	0	0.298701299	0.43220339	0	0	0	0.028571429	0.11627907	0	0.20952381	0	0.273972603	0.014925373	0.204545455	0.142857143	0.376623377
Sed	RI	0.333333333	0	0	0.055555556	0.12345679	0.262048193	0.445945946	0.333333333	0.462264151	0.59469697	0	0	0.292307692	0.646258503	0	0.255319149	0	0.008982036	0	0.085714286	0.052173913	0	0.441860465	0.007936508	0.151898734	0.293478261	0
Sed	DU1	0.409395973	0	0	0.056603774	0.061827957	0	0.527131783	0.302681992	0.496402878	0.343434343	0	0	0.432282004	0.39408867	0	0.131386861	0	0.012820513	0	0	0	0.030769231	0.036363636	0.00867052	0.397260274	0.132841328	0
Sed	DU2	0.409395973	0	0	0.056603774	0.061827957	0	0.527131783	0.302681992	0.496402878	0.343434343	0	0	0.432282004	0.39408867	0	0.131386861	0	0.012820513	0	0	0	0.030769231	0.036363636	0.00867052	0.397260274	0.132841328	0

